"Permit #","Record Type","Permit Type","Record Status","Open Date","Updated Date","Date Assigned","Date Status","Task","Status","Description","APN","Address"
"Y18-004","Planning Project","Use Permit Administrative","Close Out","1/23/2018","5/7/2018","4/25/2018","5/7/2018","Staff Level Decision","Approved","Heritage Eats at Broadway Plaza","183380015","24 BROADWAY LN, WALCR, CA "
"Y18-004","Planning Project","Design Review Commercial","Close Out","1/23/2018","5/7/2018","4/25/2018","5/7/2018","Staff Level Decision","Approved","Heritage Eats at Broadway Plaza","183380015","24 BROADWAY LN, WALCR, CA "
"Y18-005","Planning Project","Use Permit Conditional","Close Out","1/24/2018","1/24/2018","1/24/2018","1/24/2018","Intake Review","Application Accepted","CUP for Thirteen Salon at 1768 N. Broadway","178351018","1760 N BROADWAY, WALCR, CA "
"Y18-005","Planning Project","Use Permit Conditional","Close Out","1/24/2018","2/6/2018","2/6/2018","2/6/2018","Engineering Review","Review Complete","CUP for Thirteen Salon at 1768 N. Broadway","178351018","1760 N BROADWAY, WALCR, CA "
"Y18-005","Planning Project","Use Permit Conditional","Close Out","1/24/2018","7/11/2018","1/30/2018","2/22/2018","Planning Review","Comments","CUP for Thirteen Salon at 1768 N. Broadway","178351018","1760 N BROADWAY, WALCR, CA "
"Y18-005","Planning Project","Use Permit Conditional","Close Out","1/24/2018","7/11/2018","1/24/2018","2/22/2018","Building Review","No Comments","CUP for Thirteen Salon at 1768 N. Broadway","178351018","1760 N BROADWAY, WALCR, CA "
"Y18-005","Planning Project","Use Permit Conditional","Close Out","1/24/2018","7/11/2018","1/24/2018","2/22/2018","Traffic Engineering Review","No Comments","CUP for Thirteen Salon at 1768 N. Broadway","178351018","1760 N BROADWAY, WALCR, CA "
"Y18-005","Planning Project","Use Permit Conditional","Close Out","1/24/2018","7/11/2018","7/11/2018","3/8/2018","Consolidated Comments","Deemed Complete","CUP for Thirteen Salon at 1768 N. Broadway","178351018","1760 N BROADWAY, WALCR, CA "
"Y18-005","Planning Project","Use Permit Conditional","Close Out","1/24/2018","7/11/2018","7/11/2018","3/28/2018","Staff Analysis","Set for Hearing","CUP for Thirteen Salon at 1768 N. Broadway","178351018","1760 N BROADWAY, WALCR, CA "
"Y18-005","Planning Project","Use Permit Conditional","Close Out","1/24/2018","7/11/2018","7/11/2018","4/26/2018","Planning Commission","Approved","CUP for Thirteen Salon at 1768 N. Broadway","178351018","1760 N BROADWAY, WALCR, CA "
"Y18-005","Planning Project","Use Permit Conditional","Close Out","1/24/2018","7/11/2018","","7/11/2018","CEQA Review","Project Exempt","CUP for Thirteen Salon at 1768 N. Broadway","178351018","1760 N BROADWAY, WALCR, CA "
"Y18-007","Planning Project","Other","Close Out","2/8/2018","2/6/2020","2/8/2018","2/8/2018","Intake Review","Application Accepted","ZCL for Verizon Cell Site at Kaiser Permanente Rooftop","184220032","1425 S Main ST, Bldg , WALCR, CA 94596"
"Y18-007","Planning Project","Other","Close Out","2/8/2018","2/6/2020","2/6/2020","2/15/2018","Planning Review","No Comments","ZCL for Verizon Cell Site at Kaiser Permanente Rooftop","184220032","1425 S Main ST, Bldg , WALCR, CA 94596"
"Y18-007","Planning Project","Other","Close Out","2/8/2018","2/6/2020","2/6/2020","2/15/2018","Consolidated Comments","Deemed Complete","ZCL for Verizon Cell Site at Kaiser Permanente Rooftop","184220032","1425 S Main ST, Bldg , WALCR, CA 94596"
"Y18-007","Planning Project","Other","Close Out","2/8/2018","2/6/2020","","2/15/2018","CEQA Review","Project Exempt","ZCL for Verizon Cell Site at Kaiser Permanente Rooftop","184220032","1425 S Main ST, Bldg , WALCR, CA 94596"
"Y18-007","Planning Project","Other","Close Out","2/8/2018","2/6/2020","2/6/2020","3/2/2018","Staff Analysis","Staff Level Decision","ZCL for Verizon Cell Site at Kaiser Permanente Rooftop","184220032","1425 S Main ST, Bldg , WALCR, CA 94596"
"Y18-007","Planning Project","Other","Close Out","2/8/2018","2/6/2020","2/6/2020","3/2/2018","Close Out","Completed","ZCL for Verizon Cell Site at Kaiser Permanente Rooftop","184220032","1425 S Main ST, Bldg , WALCR, CA 94596"
"Y18-007","Planning Project","Other","Close Out","2/8/2018","2/6/2020","2/6/2020","3/2/2018","Staff Level Decision","Completed","ZCL for Verizon Cell Site at Kaiser Permanente Rooftop","184220032","1425 S Main ST, Bldg , WALCR, CA 94596"
"Y18-009","Planning Project","Design Review Other","Close Out","2/16/2018","2/20/2018","2/16/2018","2/20/2018","Intake Review","Application Accepted","St Mary Church Chapel","184041016","2039 MT DIABLO BLVD, WALCR, CA 94596"
"Y18-009","Planning Project","Design Review Other","Close Out","2/16/2018","2/23/2018","2/20/2018","2/23/2018","Building Review","Review Complete","St Mary Church Chapel","184041016","2039 MT DIABLO BLVD, WALCR, CA 94596"
"Y18-009","Planning Project","Design Review Other","Close Out","2/16/2018","2/7/2020","2/7/2020","3/5/2018","Consolidated Comments","Deemed Incomplete","St Mary Church Chapel","184041016","2039 MT DIABLO BLVD, WALCR, CA 94596"
"Y18-009","Planning Project","Design Review Other","Close Out","2/16/2018","2/7/2020","2/20/2018","3/5/2018","Planning Review","Comments","St Mary Church Chapel","184041016","2039 MT DIABLO BLVD, WALCR, CA 94596"
"Y18-009","Planning Project","Design Review Other","Close Out","2/16/2018","2/7/2020","2/7/2020","4/18/2018","Resubmittal","Route for Review","St Mary Church Chapel","184041016","2039 MT DIABLO BLVD, WALCR, CA 94596"
"Y18-009","Planning Project","Design Review Other","Close Out","2/16/2018","2/7/2020","2/7/2020","5/1/2018","Planning Review","No Comments","St Mary Church Chapel","184041016","2039 MT DIABLO BLVD, WALCR, CA 94596"
"Y18-009","Planning Project","Design Review Other","Close Out","2/16/2018","2/7/2020","2/7/2020","5/1/2018","Consolidated Comments","Deemed Complete","St Mary Church Chapel","184041016","2039 MT DIABLO BLVD, WALCR, CA 94596"
"Y18-009","Planning Project","Design Review Other","Close Out","2/16/2018","5/3/2018","3/9/2018","5/3/2018","Engineering Review","No Comments","St Mary Church Chapel","184041016","2039 MT DIABLO BLVD, WALCR, CA 94596"
"Y18-009","Planning Project","Design Review Other","Close Out","2/16/2018","5/3/2018","","5/3/2018","CEQA Review","Project Exempt","St Mary Church Chapel","184041016","2039 MT DIABLO BLVD, WALCR, CA 94596"
"Y18-009","Planning Project","Design Review Other","Close Out","2/16/2018","5/3/2018","2/20/2018","5/3/2018","Planning Review","No Comments","St Mary Church Chapel","184041016","2039 MT DIABLO BLVD, WALCR, CA 94596"
"Y18-009","Planning Project","Design Review Other","Close Out","2/16/2018","5/3/2018","2/20/2018","5/3/2018","Traffic Engineering Review","No Comments","St Mary Church Chapel","184041016","2039 MT DIABLO BLVD, WALCR, CA 94596"
"Y18-009","Planning Project","Design Review Other","Close Out","2/16/2018","5/3/2018","2/20/2018","5/3/2018","Fire Review","Review Complete","St Mary Church Chapel","184041016","2039 MT DIABLO BLVD, WALCR, CA 94596"
"Y18-009","Planning Project","Design Review Other","Close Out","2/16/2018","5/3/2018","5/3/2018","5/3/2018","Consolidated Comments","Deemed Complete","St Mary Church Chapel","184041016","2039 MT DIABLO BLVD, WALCR, CA 94596"
"Y18-009","Planning Project","Design Review Other","Close Out","2/16/2018","5/3/2018","5/3/2018","5/3/2018","Staff Level Decision","Approved","St Mary Church Chapel","184041016","2039 MT DIABLO BLVD, WALCR, CA 94596"
"Y18-009","Planning Project","Design Review Other","Close Out","2/16/2018","5/3/2018","5/3/2018","5/3/2018","Staff Analysis","Staff Level Decision","St Mary Church Chapel","184041016","2039 MT DIABLO BLVD, WALCR, CA 94596"
"Y18-012","Planning Project","Design Review Commercial","Close Out","2/27/2018","3/1/2018","2/27/2018","3/1/2018","Intake Review","Application Accepted","1910 Noma Apartments","178411017","1910 N MAIN ST, WALCR, CA 94596"
"Y18-012","Planning Project","Design Review Commercial","Close Out","2/27/2018","5/10/2018","3/1/2018","3/18/2018","Arborist Review","Comments","1910 Noma Apartments","178411017","1910 N MAIN ST, WALCR, CA 94596"
"Y18-012","Planning Project","Design Review Commercial","Close Out","2/27/2018","5/10/2018","3/1/2018","5/10/2018","Planning Review","Comments","1910 Noma Apartments","178411017","1910 N MAIN ST, WALCR, CA 94596"
"Y18-012","Planning Project","Design Review Commercial","Close Out","2/27/2018","5/10/2018","5/10/2018","5/10/2018","Consolidated Comments","Deemed Incomplete","1910 Noma Apartments","178411017","1910 N MAIN ST, WALCR, CA 94596"
"Y18-012","Planning Project","Design Review Commercial","Close Out","2/27/2018","5/10/2018","3/1/2018","5/10/2018","Building Review","No Comments","1910 Noma Apartments","178411017","1910 N MAIN ST, WALCR, CA 94596"
"Y18-012","Planning Project","Design Review Commercial","Close Out","2/27/2018","5/10/2018","3/1/2018","5/10/2018","Engineering Review","Comments","1910 Noma Apartments","178411017","1910 N MAIN ST, WALCR, CA 94596"
"Y18-012","Planning Project","Design Review Commercial","Close Out","2/27/2018","5/10/2018","3/1/2018","5/10/2018","Arborist Review","Comments","1910 Noma Apartments","178411017","1910 N MAIN ST, WALCR, CA 94596"
"Y18-012","Planning Project","Design Review Commercial","Close Out","2/27/2018","5/10/2018","","5/10/2018","CEQA Review","Project Exempt","1910 Noma Apartments","178411017","1910 N MAIN ST, WALCR, CA 94596"
"Y18-012","Planning Project","Design Review Commercial","Close Out","2/27/2018","5/10/2018","3/1/2018","5/10/2018","Traffic Engineering Review","Comments","1910 Noma Apartments","178411017","1910 N MAIN ST, WALCR, CA 94596"
"Y18-012","Planning Project","Design Review Commercial","Close Out","2/27/2018","5/30/2018","5/10/2018","5/30/2018","Resubmittal","Route for Review","1910 Noma Apartments","178411017","1910 N MAIN ST, WALCR, CA 94596"
"Y18-012","Planning Project","Design Review Commercial","Close Out","2/27/2018","7/25/2018","5/30/2018","7/25/2018","Building Review","Review Complete","1910 Noma Apartments","178411017","1910 N MAIN ST, WALCR, CA 94596"
"Y18-012","Planning Project","Design Review Commercial","Close Out","2/27/2018","7/26/2018","5/30/2018","7/26/2018","Arborist Review","Comments","1910 Noma Apartments","178411017","1910 N MAIN ST, WALCR, CA 94596"
"Y18-012","Planning Project","Design Review Commercial","Close Out","2/27/2018","8/20/2018","8/20/2018","8/15/2018","Design Review Commission","Approved","1910 Noma Apartments","178411017","1910 N MAIN ST, WALCR, CA 94596"
"Y18-012","Planning Project","Design Review Commercial","Close Out","2/27/2018","8/20/2018","5/30/2018","8/20/2018","Planning Review","No Comments","1910 Noma Apartments","178411017","1910 N MAIN ST, WALCR, CA 94596"
"Y18-012","Planning Project","Design Review Commercial","Close Out","2/27/2018","8/20/2018","8/20/2018","8/20/2018","Consolidated Comments","Deemed Complete","1910 Noma Apartments","178411017","1910 N MAIN ST, WALCR, CA 94596"
"Y18-012","Planning Project","Design Review Commercial","Close Out","2/27/2018","8/20/2018","5/30/2018","8/20/2018","Traffic Engineering Review","No Comments","1910 Noma Apartments","178411017","1910 N MAIN ST, WALCR, CA 94596"
"Y18-012","Planning Project","Design Review Commercial","Close Out","2/27/2018","8/20/2018","8/20/2018","8/20/2018","Staff Analysis","Set for Hearing","1910 Noma Apartments","178411017","1910 N MAIN ST, WALCR, CA 94596"
"Y18-012","Planning Project","Design Review Commercial","Close Out","2/27/2018","8/20/2018","5/30/2018","8/20/2018","Engineering Review","No Comments","1910 Noma Apartments","178411017","1910 N MAIN ST, WALCR, CA 94596"
"Y18-012","Planning Project","Design Review Commercial","Close Out","2/27/2018","9/27/2018","8/20/2018","9/27/2018","City Council","Decision Upheld","1910 Noma Apartments","178411017","1910 N MAIN ST, WALCR, CA 94596"
"Y18-012","Planning Project","Design Review Commercial","Close Out","2/27/2018","2/12/2019","1/28/2019","2/12/2019","Engineering Review","No Comments","1910 Noma Apartments","178411017","1910 N MAIN ST, WALCR, CA 94596"
"Y18-012","Planning Project","Design Review Commercial","Close Out","2/27/2018","5/8/2019","8/20/2018","5/8/2019","Zoning Administrator","Approved","1910 Noma Apartments","178411017","1910 N MAIN ST, WALCR, CA 94596"
"Y18-013","Planning Project","Tree Removal Permit","Close Out","2/27/2018","8/13/2018","2/27/2018","8/13/2018","Intake Review","Application Accepted","Pioneer Village Residential PUD","TEMP-Y18-013_6","128 PIONEER AVE, WALCR, CA 94597"
"Y18-013","Planning Project","Other","Close Out","2/27/2018","8/13/2018","2/27/2018","8/13/2018","Intake Review","Application Accepted","Pioneer Village Residential PUD","TEMP-Y18-013_3","128 PIONEER AVE, WALCR, CA 94597"
"Y18-013","Planning Project","Tree Removal Permit","Close Out","2/27/2018","8/13/2018","2/27/2018","8/13/2018","Intake Review","Application Accepted","Pioneer Village Residential PUD","TEMP-Y18-013_9","128 PIONEER AVE, WALCR, CA 94597"
"Y18-013","Planning Project","Other","Close Out","2/27/2018","8/13/2018","2/27/2018","8/13/2018","Intake Review","Application Accepted","Pioneer Village Residential PUD","TEMP-Y18-013_2","128 PIONEER AVE, WALCR, CA 94597"
"Y18-013","Planning Project","Other","Close Out","2/27/2018","8/13/2018","2/27/2018","8/13/2018","Intake Review","Application Accepted","Pioneer Village Residential PUD","TEMP-Y18-013_5","128 PIONEER AVE, WALCR, CA 94597"
"Y18-013","Planning Project","Tree Removal Permit","Close Out","2/27/2018","8/13/2018","2/27/2018","8/13/2018","Intake Review","Application Accepted","Pioneer Village Residential PUD","TEMP-Y18-013_5","128 PIONEER AVE, WALCR, CA 94597"
"Y18-013","Planning Project","Other","Close Out","2/27/2018","8/13/2018","2/27/2018","8/13/2018","Intake Review","Application Accepted","Pioneer Village Residential PUD","TEMP-Y18-013_8","128 PIONEER AVE, WALCR, CA 94597"
"Y18-013","Planning Project","Other","Close Out","2/27/2018","8/13/2018","2/27/2018","8/13/2018","Intake Review","Application Accepted","Pioneer Village Residential PUD","TEMP-Y18-013_20","128 PIONEER AVE, WALCR, CA 94597"
"Y18-013","Planning Project","Zoning Amendment","Close Out","2/27/2018","8/13/2018","2/27/2018","8/13/2018","Intake Review","Application Accepted","Pioneer Village Residential PUD","TEMP-Y18-013_4","128 PIONEER AVE, WALCR, CA 94597"
"Y18-013","Planning Project","General Plan Amendment","Close Out","2/27/2018","8/13/2018","2/27/2018","8/13/2018","Intake Review","Application Accepted","Pioneer Village Residential PUD","171061007","128 PIONEER AVE, WALCR, CA 94597"
"Y18-013","Planning Project","General Plan Amendment","Close Out","2/27/2018","8/13/2018","2/27/2018","8/13/2018","Intake Review","Application Accepted","Pioneer Village Residential PUD","171061009","128 PIONEER AVE, WALCR, CA 94597"
"Y18-013","Planning Project","Zoning Amendment","Close Out","2/27/2018","8/13/2018","2/27/2018","8/13/2018","Intake Review","Application Accepted","Pioneer Village Residential PUD","TEMP-Y18-013_3","128 PIONEER AVE, WALCR, CA 94597"
"Y18-013","Planning Project","Design Review Residential","Close Out","2/27/2018","8/13/2018","2/27/2018","8/13/2018","Intake Review","Application Accepted","Pioneer Village Residential PUD","TEMP-Y18-013_16","128 PIONEER AVE, WALCR, CA 94597"
"Y18-013","Planning Project","Design Review Residential","Close Out","2/27/2018","8/13/2018","2/27/2018","8/13/2018","Intake Review","Application Accepted","Pioneer Village Residential PUD","TEMP-Y18-013_4","128 PIONEER AVE, WALCR, CA 94597"
"Y18-013","Planning Project","Tree Removal Permit","Close Out","2/27/2018","8/13/2018","2/27/2018","8/13/2018","Intake Review","Application Accepted","Pioneer Village Residential PUD","TEMP-Y18-013_16","128 PIONEER AVE, WALCR, CA 94597"
"Y18-013","Planning Project","Design Review Residential","Close Out","2/27/2018","8/13/2018","2/27/2018","8/13/2018","Intake Review","Application Accepted","Pioneer Village Residential PUD","TEMP-Y18-013_17","128 PIONEER AVE, WALCR, CA 94597"
"Y18-013","Planning Project","Design Review Residential","Close Out","2/27/2018","8/13/2018","2/27/2018","8/13/2018","Intake Review","Application Accepted","Pioneer Village Residential PUD","TEMP-Y18-013_18","128 PIONEER AVE, WALCR, CA 94597"
"Y18-013","Planning Project","Design Review Residential","Close Out","2/27/2018","8/13/2018","2/27/2018","8/13/2018","Intake Review","Application Accepted","Pioneer Village Residential PUD","TEMP-Y18-013_19","128 PIONEER AVE, WALCR, CA 94597"
"Y18-013","Planning Project","Design Review Residential","Close Out","2/27/2018","8/13/2018","2/27/2018","8/13/2018","Intake Review","Application Accepted","Pioneer Village Residential PUD","TEMP-Y18-013_3","128 PIONEER AVE, WALCR, CA 94597"
"Y18-013","Planning Project","Design Review Residential","Close Out","2/27/2018","8/13/2018","2/27/2018","8/13/2018","Intake Review","Application Accepted","Pioneer Village Residential PUD","TEMP-Y18-013_12","128 PIONEER AVE, WALCR, CA 94597"
"Y18-013","Planning Project","Tree Removal Permit","Close Out","2/27/2018","8/13/2018","2/27/2018","8/13/2018","Intake Review","Application Accepted","Pioneer Village Residential PUD","TEMP-Y18-013_17","128 PIONEER AVE, WALCR, CA 94597"
"Y18-013","Planning Project","Tree Removal Permit","Close Out","2/27/2018","8/13/2018","2/27/2018","8/13/2018","Intake Review","Application Accepted","Pioneer Village Residential PUD","TEMP-Y18-013_4","128 PIONEER AVE, WALCR, CA 94597"
"Y18-013","Planning Project","Design Review Residential","Close Out","2/27/2018","8/13/2018","2/27/2018","8/13/2018","Intake Review","Application Accepted","Pioneer Village Residential PUD","TEMP-Y18-013_13","128 PIONEER AVE, WALCR, CA 94597"
"Y18-013","Planning Project","Design Review Residential","Close Out","2/27/2018","8/13/2018","2/27/2018","8/13/2018","Intake Review","Application Accepted","Pioneer Village Residential PUD","TEMP-Y18-013_14","128 PIONEER AVE, WALCR, CA 94597"
"Y18-013","Planning Project","Tree Removal Permit","Close Out","2/27/2018","8/13/2018","2/27/2018","8/13/2018","Intake Review","Application Accepted","Pioneer Village Residential PUD","TEMP-Y18-013_18","128 PIONEER AVE, WALCR, CA 94597"
"Y18-013","Planning Project","Design Review Residential","Close Out","2/27/2018","8/13/2018","2/27/2018","8/13/2018","Intake Review","Application Accepted","Pioneer Village Residential PUD","TEMP-Y18-013_15","128 PIONEER AVE, WALCR, CA 94597"
"Y18-013","Planning Project","Tree Removal Permit","Close Out","2/27/2018","8/13/2018","2/27/2018","8/13/2018","Intake Review","Application Accepted","Pioneer Village Residential PUD","TEMP-Y18-013_19","128 PIONEER AVE, WALCR, CA 94597"
"Y18-013","Planning Project","Design Review Residential","Close Out","2/27/2018","8/13/2018","2/27/2018","8/13/2018","Intake Review","Application Accepted","Pioneer Village Residential PUD","TEMP-Y18-013_20","128 PIONEER AVE, WALCR, CA 94597"
"Y18-013","Planning Project","Design Review Residential","Close Out","2/27/2018","8/13/2018","2/27/2018","8/13/2018","Intake Review","Application Accepted","Pioneer Village Residential PUD","TEMP-Y18-013_1","128 PIONEER AVE, WALCR, CA 94597"
"Y18-013","Planning Project","Tree Removal Permit","Close Out","2/27/2018","8/13/2018","2/27/2018","8/13/2018","Intake Review","Application Accepted","Pioneer Village Residential PUD","TEMP-Y18-013_12","128 PIONEER AVE, WALCR, CA 94597"
"Y18-013","Planning Project","Design Review Residential","Close Out","2/27/2018","8/13/2018","2/27/2018","8/13/2018","Intake Review","Application Accepted","Pioneer Village Residential PUD","TEMP-Y18-013_10","128 PIONEER AVE, WALCR, CA 94597"
"Y18-013","Planning Project","Design Review Residential","Close Out","2/27/2018","8/13/2018","2/27/2018","8/13/2018","Intake Review","Application Accepted","Pioneer Village Residential PUD","TEMP-Y18-013_11","128 PIONEER AVE, WALCR, CA 94597"
"Y18-013","Planning Project","Design Review Residential","Close Out","2/27/2018","8/13/2018","2/27/2018","8/13/2018","Intake Review","Application Accepted","Pioneer Village Residential PUD","TEMP-Y18-013_2","128 PIONEER AVE, WALCR, CA 94597"
"Y18-013","Planning Project","Tree Removal Permit","Close Out","2/27/2018","8/13/2018","2/27/2018","8/13/2018","Intake Review","Application Accepted","Pioneer Village Residential PUD","TEMP-Y18-013_3","128 PIONEER AVE, WALCR, CA 94597"
"Y18-013","Planning Project","Tree Removal Permit","Close Out","2/27/2018","8/13/2018","2/27/2018","8/13/2018","Intake Review","Application Accepted","Pioneer Village Residential PUD","TEMP-Y18-013_13","128 PIONEER AVE, WALCR, CA 94597"
