Permit Number,Permit Type,Permit Type Definition,Permit Creation Date,Block,Lot,Street Number,Street Number Suffix,Street Name,Street Suffix,Unit,Unit Suffix,Description,Current Status,Current Status Date,Filed Date,Issued Date,Completed Date,First Construction Document Date,Structural Notification,Number of Existing Stories,Number of Proposed Stories,Voluntary Soft-Story Retrofit,Fire Only Permit,Permit Expiration Date,Estimated Cost,Revised Cost,Existing Use,Existing Units,Proposed Use,Proposed Units,Plansets,TIDF Compliance,Existing Construction Type,Existing Construction Type Description,Proposed Construction Type,Proposed Construction Type Description,Site Permit,Supervisor District,Neighborhoods - Analysis Boundaries,Zipcode,Location,Record ID
201711063204,2,new construction wood frame,11/06/2017,7539,004,1915,,Diamond,St,,,"to erect a three story,type 5-b fronting beacon street. new construction of single family dwelling on a subdivided lot. fire sprinklers per nfpa 13d under sep permit.",approved,12/21/2021,11/06/2017,,,,,,2,,,,226310,750000,,,1 family dwelling,1,2,,,,5,wood frame (5),Y,8,Glen Park,94131,POINT (-122.43510729617209 37.74214261622845),1486105228145
202102114463,2,new construction wood frame,02/11/2021,4964,027,991,,Hollister,Av,,,"to erect a type-v, 1-story single family adu in rear of (e) bldg per adu ordinance 162-17.",filed,02/11/2021,02/11/2021,,,,,,1,,,,40000,55000,,,1 family dwelling,1,2,,,,5,wood frame (5),Y,10,Bayview Hunters Point,94124,POINT (-122.39055600925869 37.718353909397536),1610003176745
202102245270,2,new construction wood frame,02/24/2021,6528,005,1026,,Capp,St,,,construction of new accessory dweeling unit (adu) building in the rear (west) of the property.,filed,02/24/2021,02/24/2021,,,,,,,,,,170000,,,,1 family dwelling,1,1,,,,,,,9,Mission,94110,POINT (-122.41745916419993 37.7502769117583),1610904206302
202203049229,1,new construction,03/04/2022,3506,012,49,,South Van Ness,Av,,,test dummy,filed,03/04/2022,03/04/2022,,,,,,,,,,5000000,5000000,,,,,2,,,,,,,6,Mission,94103,POINT (-122.41814366285597 37.77414519594029),1637322520255
202010166617,2,new construction wood frame,10/16/2020,5524,063,3223,,Folsom,St,0,,"to construct a type v-b, 2-story, 1-single family residential bldg with no basement. detached in rear of existing property - adu per state ab-881.",filed,10/16/2020,10/16/2020,,,,,,2,,,,130000,,,,1 family dwelling,1,2,,,,5,wood frame (5),,9,Bernal Heights,94110,POINT (-122.41315424905468 37.746309409811815),1601490412144
201301047264,2,new construction wood frame,01/04/2013,6415,022,1310,V,Geneva,Av,,,erect 3-story type v single family dwelling residence.,complete,04/01/2015,01/04/2013,06/14/2013,04/01/2015,08/16/2013,,,3,,,05/29/2016,185000,528451,,,1 family dwelling,1,2,,,,5,wood frame (5),Y,11,Excelsior,94112,POINT (-122.43440876409707 37.71310153009834),1292403202611
201301168071,2,new construction wood frame,01/16/2013,2829,010,4376,,24th,St,,,erect to 3 stories of one single family.,complete,07/17/2017,01/16/2013,02/04/2015,07/17/2017,07/14/2015,,,3,,,01/19/2018,900000,900000,,,1 family dwelling,1,2,,,,5,wood frame (5),Y,8,Noe Valley,94114,POINT (-122.44014612467517 37.751170411321596),1293441145352
201301168124,1,new construction,01/16/2013,3616,084,2558,,Mission,St,,,"to erect 8 stories, 1 basement, 114 units residential, retail & parking building.",complete,01/12/2015,01/16/2013,06/07/2013,01/12/2015,08/14/2013,,,8,,,05/07/2019,35000000,35000000,,,apartments,114,2,,,,1,constr type 1,Y,9,Mission,94110,POINT (-122.41917595297284 37.75595529275937),1306830491542
201301248656,2,new construction wood frame,01/24/2013,5597A,001,928,,Toland,St,,,to erect 1 story commercial building.,complete,01/30/2017,01/24/2013,06/17/2014,01/30/2017,12/02/2014,,,1,,,05/16/2020,700000,3569282,,,office,,2,,,,5,wood frame (5),Y,10,Bayview Hunters Point,94124,POINT (-122.40154720689739 37.74162369984772),1294192184539
201301319232,1,new construction,01/31/2013,3509,043,104,,09th,St,,,"to erect 160 units, 11 stories with basement mix use building.",complete,09/13/2016,01/31/2013,08/29/2013,09/13/2016,11/04/2013,,,11,,,07/29/2019,20000000,29011002,,,apartments,160,2,,,,1,constr type 1,Y,6,South of Market,94103,POINT (-122.41474611319114 37.77587440197854),1294896156329
201302049382,2,new construction wood frame,02/04/2013,1700,001,1199,,09th,Av,,,to erect 1 story nursery w/ green house and a3 assembly area in golden gate park.,issued,12/20/2013,02/04/2013,12/20/2013,,,,,1,,,11/29/2017,5500000,5500000,,,nursery(floral),,2,,,,5,wood frame (5),,1,Golden Gate Park,94122,POINT (-122.48216695123797 37.76936858305024),1295079489560
201302069581,2,new construction wood frame,02/06/2013,2993,090,287,,Cresta Vista,Dr,,,"erect 2-story, no basement, type 5, single family dwelling bldg.",issued,11/18/2013,02/06/2013,11/18/2013,,09/19/2014,,,2,,,11/02/2016,500000,614225,,,1 family dwelling,1,2,,,,5,wood frame (5),Y,7,West of Twin Peaks,94127,POINT (-122.45353660337395 37.735683463720974),1295339459761
201302119939,1,new construction,02/11/2013,4071,014,1912,,20th,St,,,"erect new 6 stories, 2 dwelling units building.",issued,08/18/2015,02/11/2013,08/18/2015,,,,,6,,,08/02/2018,1570000,1570000,,,2 family dwelling,2,2,,,,3,constr type 3,Y,10,Potrero Hill,94107,POINT (-122.40051374779156 37.75999810119751),1295799453830
201302140247,2,new construction wood frame,02/14/2013,5312,014,1750,,Oakdale,Av,,,"to erect 4 stories, two unit residential building.",filed,02/14/2013,02/14/2013,,,,,,4,,,,200000,,,,2 family dwelling,2,2,,,,5,wood frame (5),Y,10,Bayview Hunters Point,94124,POINT (-122.39300037519126 37.73641327823249),1296198489595
201302140247,2,new construction wood frame,02/14/2013,5312,014,1752,,Oakdale,Av,,,"to erect 4 stories, two unit residential building.",filed,02/14/2013,02/14/2013,,,,,,4,,,,200000,,,,2 family dwelling,2,2,,,,5,wood frame (5),Y,10,Bayview Hunters Point,94124,POINT (-122.39300037519126 37.73641327823249),1296199489596
201302150317,2,new construction wood frame,02/15/2013,0776,035,1470,,Mcallister,St,,,erect 4-story three dwelling units type v new multifamily dwelling,complete,10/05/2016,02/15/2013,12/19/2013,10/05/2016,05/21/2015,,,4,,,12/03/2016,900000,1356000,,,apartments,3,2,,,,5,wood frame (5),Y,5,Western Addition,94115,POINT (-122.43639817019512 37.77827589222382),1325539495348
201302210648,2,new construction wood frame,02/21/2013,3576,018,39,,San Carlos,St,,,erect 4 story 3 family dwelling units.,complete,06/18/2015,02/21/2013,03/24/2014,06/18/2015,08/05/2014,,,4,,,03/08/2017,650000,650000,,,apartments,3,2,,,,5,wood frame (5),Y,9,Mission,94110,POINT (-122.41995747874758 37.76215852169342),1336389497087
201302250889,2,new construction wood frame,02/25/2013,2979A,029,15,,West Portal,Av,,,"erect 2 stories, 1 basement, office/mercantile building.",complete,03/05/2015,02/25/2013,06/05/2013,03/05/2015,07/24/2013,,,2,,,05/20/2016,625000,800000,,,office,0,2,,,,5,wood frame (5),Y,7,West of Twin Peaks,94127,POINT (-122.46578645640015 37.740604281607915),1297051363042
201302220722,2,new construction wood frame,02/22/2013,2979A,035,1,,West Portal,Av,,,"construct a new 2-story, type 5, group a-2 occupancy restaurant building.occupant capacity approved for 144 occupants.sprinklers, hood and duct fire suppression required under separate permit.",complete,03/07/2014,02/22/2013,05/20/2013,03/07/2014,,,,2,,,05/04/2016,100000,750000,,,food/beverage hndlng,,2,,,,5,wood frame (5),,7,West of Twin Peaks,94127,POINT (-122.46567826136068 37.74057498138417),1296831148759
201302281136,2,new construction wood frame,02/28/2013,7295,031,477,,Eucalyptus,Dr,,,"to erect 3 stories, type 5-b, single family dwelling.",complete,05/22/2019,02/28/2013,06/04/2015,05/22/2019,02/04/2016,,,3,,,05/19/2018,400000,890000,,,1 family dwelling,1,2,,,,5,wood frame (5),Y,7,Lakeshore,94132,POINT (-122.47800948570261 37.73091368341987),1297355489468
201302271118,2,new construction wood frame,02/27/2013,6081,019,388,,Lisbon,St,,,"to erect 3 stories, no basement, single family dwelling.",filed,02/27/2013,02/27/2013,,,,,,3,,,,350000,,,,1 family dwelling,1,2,,,,5,wood frame (5),Y,11,Excelsior,94112,POINT (-122.4337376765256 37.72227933415486),1297337195569
201303041387,2,new construction wood frame,03/04/2013,7113,065,268,,Capitol,Av,,,"to erect 4 stories, no basement, 2 family dwelling units.",complete,12/28/2016,03/04/2013,04/17/2014,12/28/2016,08/27/2014,,,4,,,04/01/2017,400000,850000,,,2 family dwelling,2,2,,,,5,wood frame (5),Y,11,Oceanview/Merced/Ingleside,94112,POINT (-122.45878739952761 37.712754675330316),1335567497048
201303041387,2,new construction wood frame,03/04/2013,7113,065,270,,Capitol,Av,,,"to erect 4 stories, no basement, 2 family dwelling units.",complete,12/28/2016,03/04/2013,04/17/2014,12/28/2016,08/27/2014,,,4,,,04/01/2017,400000,850000,,,2 family dwelling,2,2,,,,5,wood frame (5),Y,11,Oceanview/Merced/Ingleside,94112,POINT (-122.45878739952761 37.712754675330316),1335568489617
201303041396,2,new construction wood frame,03/04/2013,7113,064,278,,Capitol,Av,,,"to erect 4 stories, no basement, 2 family dwellings.",complete,12/28/2016,03/04/2013,04/17/2014,12/28/2016,08/27/2014,,,4,,,04/01/2017,400000,850000,,,2 family dwelling,2,2,,,,5,wood frame (5),Y,11,Oceanview/Merced/Ingleside,94112,POINT (-122.45878812725927 37.71282333189012),1335565497047
201303041396,2,new construction wood frame,03/04/2013,7113,064,280,,Capitol,Av,,UPPER,"to erect 4 stories, no basement, 2 family dwellings.",complete,12/28/2016,03/04/2013,04/17/2014,12/28/2016,08/27/2014,,,4,,,04/01/2017,400000,850000,,,2 family dwelling,2,2,,,,5,wood frame (5),Y,11,Oceanview/Merced/Ingleside,94112,POINT (-122.45878812725927 37.71282333189012),1335566465132
201303011275,2,new construction wood frame,03/01/2013,6604,016,562,,28th,St,,,erect three story single family dwelling.,complete,11/10/2015,03/01/2013,03/07/2014,11/10/2015,04/16/2014,,,3,,,02/19/2017,650000,700000,,,1 family dwelling,1,2,,,,5,wood frame (5),Y,8,Noe Valley,94131,POINT (-122.43472850754438 37.745064431191125),1297541208929
201303051501,2,new construction wood frame,03/05/2013,1407,017,2500,,Clement,St,,,"to erect 4 stories, 3 units with retail building.",cancelled,07/15/2015,03/05/2013,,,,,,4,,,,750000,,,,apartments,3,2,,,,5,wood frame (5),Y,1,Outer Richmond,94121,POINT (-122.48615371566983 37.78223348044984),1298194489681
201303051508,2,new construction wood frame,03/05/2013,1407,017,381,,26th,Av,,,"to erect 4 stories, no basement, 3 dwelling units with retail building. arch/mep/sprinkler & standpipe deferred.  on same block/lot as 2015-0701-0431 (2500 clement)",complete,11/13/2019,03/05/2013,06/28/2017,11/13/2019,09/06/2017,,,4,,,06/12/2020,600000,1127500,,,apartments,3,2,,,,5,wood frame (5),Y,1,Outer Richmond,94121,POINT (-122.48615371566983 37.78223348044984),1298192489680
201303051508,2,new construction wood frame,03/05/2013,1407,017,383,,26th,Av,,,"to erect 4 stories, no basement, 3 dwelling units with retail building. arch/mep/sprinkler & standpipe deferred.  on same block/lot as 2015-0701-0431 (2500 clement)",complete,11/13/2019,03/05/2013,06/28/2017,11/13/2019,09/06/2017,,,4,,,06/12/2020,600000,1127500,,,apartments,3,2,,,,5,wood frame (5),Y,1,Outer Richmond,94121,POINT (-122.48615371566983 37.78223348044984),1468632509021
201303051508,2,new construction wood frame,03/05/2013,1407,017,385,,26th,Av,,,"to erect 4 stories, no basement, 3 dwelling units with retail building. arch/mep/sprinkler & standpipe deferred.  on same block/lot as 2015-0701-0431 (2500 clement)",complete,11/13/2019,03/05/2013,06/28/2017,11/13/2019,09/06/2017,,,4,,,06/12/2020,600000,1127500,,,apartments,3,2,,,,5,wood frame (5),Y,1,Outer Richmond,94121,POINT (-122.48615371566983 37.78223348044984),1468633509022
201303051508,2,new construction wood frame,03/05/2013,1407,017,387,,26th,Av,,,"to erect 4 stories, no basement, 3 dwelling units with retail building. arch/mep/sprinkler & standpipe deferred.  on same block/lot as 2015-0701-0431 (2500 clement)",complete,11/13/2019,03/05/2013,06/28/2017,11/13/2019,09/06/2017,,,4,,,06/12/2020,600000,1127500,,,apartments,3,2,,,,5,wood frame (5),Y,1,Outer Richmond,94121,POINT (-122.48615371566983 37.78223348044984),1468634509023
201303111903,2,new construction wood frame,03/11/2013,6580,018,456,,27th,St,,,"erect 3-story, 2-unit residential, type v new building.",complete,08/12/2016,03/11/2013,09/15/2014,08/12/2016,05/22/2015,,,3,,,08/30/2017,600000,706682,,,2 family dwelling,2,2,,,,5,wood frame (5),Y,8,Noe Valley,94131,POINT (-122.43050932566547 37.746929723808776),1298348208079
201303122049,2,new construction wood frame,03/12/2013,3518,006,248,,09th,St,,,"to erect 5 stories, 15 units multi-family residential with 1 commercial unit.",complete,10/14/2015,03/12/2013,03/18/2014,10/14/2015,06/18/2014,,,5,,,02/15/2020,2000000,4620021,,,apartments,15,2,,,,5,wood frame (5),Y,6,South of Market,94103,POINT (-122.41258351001663 37.77417681571765),1298555156592
201303122049,2,new construction wood frame,03/12/2013,3518,007,252,,09th,St,,,"to erect 5 stories, 15 units multi-family residential with 1 commercial unit.",complete,10/14/2015,03/12/2013,03/18/2014,10/14/2015,06/18/2014,,,5,,,02/15/2020,2000000,4620021,,,apartments,15,2,,,,5,wood frame (5),Y,6,South of Market,94103,POINT (-122.41252126746494 37.77412718170963),1298556156593
201303122050,2,new construction wood frame,03/12/2013,4160,003,910,,Carolina,St,,,"to erect new 3-story over 1 basement, single family residential bldg.",complete,03/07/2018,03/12/2013,03/20/2015,03/07/2018,11/04/2016,,,3,,,03/04/2018,700000,900000,,,1 family dwelling,1,2,,,,5,wood frame (5),Y,10,Potrero Hill,94107,POINT (-122.40019065541742 37.75695891187253),1298557171601
201303132080,1,new construction,03/13/2013,3720,009,101,,01st,St,,,"to erect 63 stories with 3 basements, office, retail, parking building.",complete,07/13/2021,03/13/2013,09/27/2013,07/13/2021,02/19/2014,,,63,,,08/27/2019,272000000,336200000,,,office,0,2,,,,1,constr type 1,Y,6,Financial District/South Beach,94105,POINT (-122.39680071646887 37.789855290724404),1298608489715
201303142213,2,new construction wood frame,03/14/2013,0793,103,400,,Grove,St,,,"erect 5-story multifamily residential, retail, parking new bldg.",complete,11/09/2021,03/14/2013,10/16/2013,11/09/2021,02/07/2014,,,5,,,09/15/2019,6200000,7000000,,,apartments,32,2,,,,5,wood frame (5),Y,5,Hayes Valley,94102,POINT (-122.42351991433154 37.777997145073996),1299408489735
201303182424,2,new construction wood frame,03/18/2013,6612,027,2123,,Castro,St,,,"to erect 3 stories, 1 basement, single family dwelling.",complete,10/04/2016,03/18/2013,11/18/2014,10/04/2016,03/04/2015,,,3,,,11/02/2017,500000,724301,,,1 family dwelling,1,2,,,,5,wood frame (5),Y,8,Noe Valley,94131,POINT (-122.43310674466576 37.74451557221673),1299055209090
201303202580,2,new construction wood frame,03/20/2013,6774,012,2,V,Flood,Av,,,erect 3 stories single family dwelling.,complete,07/21/2015,03/20/2013,03/12/2014,07/21/2015,08/18/2014,,,3,,,02/24/2017,375000,519000,,,1 family dwelling,1,2,,,,5,wood frame (5),Y,7,West of Twin Peaks,94131,POINT (-122.44065558912001 37.7301700011468),1299264212818
201303212751,2,new construction wood frame,03/21/2013,6521,052,13,,Lucky,St,,,"erect 3-story, type 5, single family residence.",reinstated,03/19/2018,03/21/2013,12/19/2017,,,,,3,,,12/03/2020,322873,386455,,,1 family dwelling,1,2,,,,5,wood frame (5),Y,9,Mission,94110,POINT (-122.41338800081957 37.75222810222746),1299477473561
201303222886,1,new construction,03/22/2013,0785,029,380,,Fulton,St,,,"erect 4 story, no basement, club house/gym/pool office building.",complete,03/23/2015,03/22/2013,08/27/2013,03/23/2015,12/04/2013,,,4,,,07/27/2019,11500000,11500000,,,recreation bldg,,2,,,,2,constr type 2,Y,5,Hayes Valley,94102,POINT (-122.42288573403718 37.779074435017264),1299648489549
201303273113,1,new construction,03/27/2013,0785,029,388,,Fulton,St,,,"erect 6 stories, no basement, 69 units residential apartments with ground floor retail.",complete,08/22/2017,03/27/2013,11/26/2013,08/22/2017,06/06/2014,,,6,,,10/26/2019,12500000,12500000,,,apartments,69,2,,,,3,constr type 3,Y,5,Hayes Valley,94102,POINT (-122.42288573403718 37.779074435017264),1299935489756
201303263058,1,new construction,03/26/2013,4591C,009,55,,Innes,Ct,,,"erect concrete deck (over look) walls, grade beams and top slab for amusement center. (park)",issued,07/25/2014,03/26/2013,07/25/2014,,,,,,,,07/09/2017,300000,300000,,,fence/retaining wall,,2,,,,1,constr type 1,,10,Bayview Hunters Point,94124,POINT (-122.36639357504151 37.72709599447808),1299860488095
201303293352,2,new construction wood frame,03/29/2013,3180,194,7,,Phelan,Av,,,erect (n) 1-story restroom,complete,07/14/2014,03/29/2013,07/05/2013,07/14/2014,,,,1,,,06/19/2016,500000,500000,,,muni driver restroom,,2,,,,5,wood frame (5),,7,West of Twin Peaks,94112,POINT (-122.45299059983435 37.72363883346728),1300218489439
201304023626,1,new construction,04/02/2013,3738,004,280,,Beale,St,,,"to erect 32 stories, 479 condo units with retail.",complete,02/09/2017,04/02/2013,08/28/2013,02/09/2017,02/20/2014,,,32,,,07/28/2019,131088316,131088316,,,apartments,479,2,,,,1,constr type 1,Y,6,Financial District/South Beach,94105,POINT (-122.39361360041458 37.78873189164878),1300653291153
201304043755,1,new construction,04/04/2013,5281,003,901,,Rankin,St,,,"to erect 2 stories, no basement, commercial warehouse.",complete,01/26/2015,04/04/2013,08/21/2013,01/26/2015,10/08/2013,,,2,,,07/21/2019,15500000,15500000,,,"warehouse,no frnitur",0,2,,,,3,constr type 3,Y,10,Bayview Hunters Point,94124,POINT (-122.39498880938731 37.74139803774445),1300716376649
